# GOES-R ABI FM4 SRF ch 047 CWG release
# wvl [micron],  wavenum [cm-1],  relative SRF
  0.4559760       21931.0      0.82968300
  0.4559960       21930.0      0.83010800
  0.4560170       21929.0      0.83056100
  0.4560380       21928.0      0.83102800
  0.4560590       21927.0      0.83150700
  0.4560800       21926.0      0.83199700
  0.4561000       21925.0      0.83249600
  0.4561210       21924.0      0.83300400
  0.4561420       21923.0      0.83351900
  0.4561630       21922.0      0.83404000
  0.4561840       21921.0      0.83456600
  0.4562040       21920.0      0.83509500
  0.4562250       21919.0      0.83562600
  0.4562460       21918.0      0.83615800
  0.4562670       21917.0      0.83668900
  0.4562880       21916.0      0.83721800
  0.4563080       21915.0      0.83774500
  0.4563290       21914.0      0.83826700
  0.4563500       21913.0      0.83878400
  0.4563710       21912.0      0.83929400
  0.4563920       21911.0      0.83979600
  0.4564130       21910.0      0.84028900
  0.4564330       21909.0      0.84077100
  0.4564540       21908.0      0.84124100
  0.4564750       21907.0      0.84169700
  0.4564960       21906.0      0.84214000
  0.4565170       21905.0      0.84256600
  0.4565380       21904.0      0.84297600
  0.4565580       21903.0      0.84336700
  0.4565790       21902.0      0.84373900
  0.4566000       21901.0      0.84409000
  0.4566210       21900.0      0.84441900
  0.4566420       21899.0      0.84472500
  0.4566630       21898.0      0.84500500
  0.4566840       21897.0      0.84526000
  0.4567040       21896.0      0.84548800
  0.4567250       21895.0      0.84568700
  0.4567460       21894.0      0.84585600
  0.4567670       21893.0      0.84599400
  0.4567880       21892.0      0.84610000
  0.4568090       21891.0      0.84617500
  0.4568300       21890.0      0.84624300
  0.4568500       21889.0      0.84630800
  0.4568710       21888.0      0.84636800
  0.4568920       21887.0      0.84642400
  0.4569130       21886.0      0.84647200
  0.4569340       21885.0      0.84651300
  0.4569550       21884.0      0.84654400
  0.4569760       21883.0      0.84656500
  0.4569970       21882.0      0.84657300
  0.4570180       21881.0      0.84655100
  0.4570380       21880.0      0.84646700
  0.4570590       21879.0      0.84632400
  0.4570800       21878.0      0.84612400
  0.4571010       21877.0      0.84587200
  0.4571220       21876.0      0.84557100
  0.4571430       21875.0      0.84522300
  0.4571640       21874.0      0.84483100
  0.4571850       21873.0      0.84440000
  0.4572060       21872.0      0.84393100
  0.4572260       21871.0      0.84342900
  0.4572470       21870.0      0.84289600
  0.4572680       21869.0      0.84233500
  0.4572890       21868.0      0.84175100
  0.4573100       21867.0      0.84114500
  0.4573310       21866.0      0.84052200
  0.4573520       21865.0      0.83988400
  0.4573730       21864.0      0.83923400
  0.4573940       21863.0      0.83857600
  0.4574150       21862.0      0.83791300
